,Country,Player,Team,Base price,Winning bid,Year
513,India,Vinay Kumar,Kolkata Knight Riders,100,100,2018
514,India,Mohammed Siraj,Royal Challengers Bangalore,100,260,2018
515,Australia,Nathan Coulter-Nile,Royal Challengers Bangalore,150,220,2018
516,India,Jaydev Unadkat,Rajasthan Royals,150,1150,2018
517,New Zealand,Trent Boult,Delhi Daredevils,150,220,2018
518,India,Shardul Thakur,Chennai Super Kings,75,260,2018
519,Afghanistan,Mujeeb Zadran,Kings XI Punjab,50,400,2018
520,India,Apoorv Wankhade,Kolkata Knight Riders,20,20,2018
521,India,Rinku Singh,Kolkata Knight Riders,20,80,2018
522,India,Sachin Baby,Sunrisers Hyderabad,20,20,2018
523,India,Manjot Kalra,Delhi Daredevils,20,20,2018
524,India,Ankit Sharma,Rajasthan Royals,20,20,2018
525,India,Shivam Mavi,Kolkata Knight Riders,20,300,2018
526,India,Abhishek Sharma,Delhi Daredevils,20,55,2018
527,India,Pradeep Sangwan,Mumbai Indians,30,150,2018
528,India,Anureet Singh,Rajasthan Royals,30,30,2018
529,India,Narayan Jagadeesan,Chennai Super Kings,20,20,2018
530,Afghanistan,Zahir Khan Pakteen,Rajasthan Royals,20,60,2018
531,South Africa,Jean-Paul Duminy,Mumbai Indians,100,100,2018
532,England,Chris Jordan,Sunrisers Hyderabad,100,100,2018
533,New Zealand,Mitchell Santner,Chennai Super Kings,50,50,2018
534,Australia,Jason Behrendorff,Mumbai Indians,100,150,2018
535,India,Barinder Sran,Kings XI Punjab,50,220,2018
536,Australia,Billy Stanlake,Sunrisers Hyderabad,50,50,2018
537,Australia,Andrew Tye,Kings XI Punjab,100,720,2018
538,India,Tanmay Agarwal,Sunrisers Hyderabad,20,20,2018
539,India,Deepak Chahar,Chennai Super Kings,20,80,2018
540,South Africa,Cameron Delport,Kolkata Knight Riders,30,30,2018
541,India,Tajinder Singh,Mumbai Indians,20,55,2018
542,India,Shreyas Gopal,Rajasthan Royals,20,20,2018
543,India,Akshdeep Nath,Kings XI Punjab,20,100,2018
544,India,Shreevats Goswami,Sunrisers Hyderabad,20,100,2018
545,Australia,Ben Dwarshuis,Kings XI Punjab,20,140,2018
546,India,KM Asif,Chennai Super Kings,20,40,2018
547,Nepal,Sandeep Lamichhane,Delhi Daredevils,20,20,2018
